Comune;Provincia;Regione;Intervento;Lotto;Norma di riferimento;Tipo di dissesto;Posizione;Denominazione;Localit�;Ente attuatore;Comune primario;Importo finanziato;Nota importo finanziato;Importo lotto;Fase di attuazione;;;;;;;;;;;;;;;;
DRUENTO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO185A/10;1;AP 2010-11;Alluvione;Centroide;AMPLIAMENTO VASCA DI LAMINAZIONE RIO FELLONE (REALIZZAZIONE BACINO DI LAMINAZIONE COSTITUITO DA N.2 VASCHE IN SERIE OTTENUTE MEDIANTE RILEVATI ARGINALI IN TERRA E MANUFATTI IN C.A.);CASCINA BIANCHINA;Commissario Straordinario - attuazione interventi Regione Piemonte;DRUENTO;550000.00;;0.00;in progettazione;;;;;;;;;;;;;;;;
EXILLES;CITTA' METROPOLITANA DI TORINO;Piemonte;01IR462/G1;1;D.D. CLE;Frana;Georiferito;Interventi di riduzione del rischio in localito Cels;Exilles;Commissario di Governo - Piano clima Reg. Piemonte;EXILLES;600000.00;;600000.00;in progettazione;;;;;;;;;;;;;;;;
EXILLES;CITTA' METROPOLITANA DI TORINO;Piemonte;TO186A/10;1;AP 2010-11;Frana;Centroide;RIDUZIONE DEL RISCHIO IDROGEOLOGICO IN LOCALITn CELS DI EXILLES - INTERVENTI SULLE PARETI ROCCIOSE (REALIZZAZIONE DI: VALLI PARAMASSI, RETI PARAMASSI, PANNELLI IN FUNE DCACCIAIO, TIRANTATURE, MONITORAGGIO STRUMENTALE);RIF E MORLIERE DELLA BORGATA CELS;Commissario Straordinario - attuazione interventi Regione Piemonte;EXILLES;750000.00;;750000.00;in progettazione;;;;;;;;;;;;;;;;
GASSINO TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO187A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLNAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;GASSINO TORINESE;270000.00;;270000.00;concluso;;;;;;;;;;;;;;;;
GIAVENO;CITTA' METROPOLITANA DI TORINO;Piemonte;393/02;1;D.L.180/98;Frana;Georiferito;Rifacimento ponte Via Ospedale,sistemazione alveo a manufatto scatolare.;Centro abitato;Comune - GIAVENO;GIAVENO;2065828.00;;0.00;concluso;;;;;;;;;;;;;;;;
GROSCAVALLO;CITTA' METROPOLITANA DI TORINO;Piemonte;768/99;1;D.L.180/98;Frana;Georiferito;Sistemazione Rio Arianas in localito Pialpetta;Biole;Comune - GROSCAVALLO;GROSCAVALLO;413000.00;;715000.00;concluso;;;;;;;;;;;;;;;;
GROSCAVALLO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO188A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE FRANA A VALLE S. C. ALBONI LOC GHIELMI-SAN GRATO A SEGUITO DELLZEVENTO CALAMITOSO DELL APRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;GROSCAVALLO;260000.00;;260000.00;concluso;;;;;;;;;;;;;;;;
LAURIANO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO189A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLNAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;LAURIANO;133000.00;;133000.00;in progettazione;;;;;;;;;;;;;;;;
LOCANA;CITTA' METROPOLITANA DI TORINO;Piemonte;769/99;1;D.L.180/98;Frana;Georiferito;Sistemazione idrogeologica a monte Loc. Casetti;Casetti;Comune - LOCANA;LOCANA;1033000.00;;1033000.00;concluso;;;;;;;;;;;;;;;;
LORANZE';CITTA' METROPOLITANA DI TORINO;Piemonte;216/07;1;D.L.180/98;Alluvione;Georiferito;Sistemazione ed adeguamento reticolo minore loc. Piano;Piano;Comune - LORANZEa;LORANZE-;200000.00;;0.00;concluso;;;;;;;;;;;;;;;;
LORANZE';CITTA' METROPOLITANA DI TORINO;Piemonte;770/99;1;D.L.180/98;Frana;Centroide;Sistemazione idrogeologica versante in corrispondenza del Rio Rivelletto;Varie;Comune - LORANZEo;LORANZE-;258000.00;;0.00;concluso;;;;;;;;;;;;;;;;
MARENTINO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO164A/10;1;AP 2010-11;Frana;Georiferito;"RICOSTRUZIONE CORPO STRADALE E REALIZZAZIONE DI MURO DI CONTENIMENTO DELLA SP N. 118 ""DI SCIOLZE DIR. VERNONE (OPERE DI CONSOLIDAMENTO ATTIVO)";COMUNE DI SCIOLZE;Commissario Straordinario - attuazione interventi Regione Piemonte;SCIOLZE;450000.00;;550000.00;concluso;;;;;;;;;;;;;;;;
MONCALIERI;CITTA' METROPOLITANA DI TORINO;Piemonte;01IR143/G3;1;AP 2010-11;Alluvione;Georiferito;Sistemazione Po loc Vallere 1a stralcio;LOC. VALLERE;Altro -  SCONOSCIUTO;MONCALIERI;1549000.00;;0.00;da avviare o dati non comunicati;;;;;;;;;;;;;;;;
MONCALIERI;CITTA' METROPOLITANA DI TORINO;Piemonte;TO190A/10;1;AP 2010-11;Alluvione;Centroide;REALIZZAZIONE NUOVO CANALE SCOLMATORE  TRA IL CANALE DELLA FICCA ED I PONTI SUL FIUME PO. (REALIZZAZIONE CANALE SCOLMATORE PER RECAPITO RII MINORI CON IMPIANTO DI SOLLEVAMENTO);BORGO AIE;Commissario Straordinario - attuazione interventi Regione Piemonte;MONCALIERI;2072500.00;;0.00;in progettazione;;;;;;;;;;;;;;;;
MONTALTO DORA;CITTA' METROPOLITANA DI TORINO;Piemonte;771/99;1;D.L.180/98;Alluvione;Georiferito;Arginatura Dora Baltea e roggia Boasca;Zona Industriale;Comune - MONTALTO DORA;MONTALTO DORA;1033000.00;;1033000.00;concluso;;;;;;;;;;;;;;;;
MONTANARO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO191A/10;1;AP 2010-11;Alluvione;Georiferito;REALIZZAZIONE CANALE SCOLMATORE RIO FOSSASCO (SCATOLARE IN C.A. IN PARTE COPERTO);CONCENTRICO;Commissario Straordinario - attuazione interventi Regione Piemonte;MONTANARO;700000.00;;0.00;in progettazione;;;;;;;;;;;;;;;;
