id;department_code;insee_code;zip_code;name;slug;gps_lat;gps_lng
19099;51;51516;51260;Saint-Saturnin;saint saturnin;4,86185E+13;3,89351E+13
19100;51;51517;51600;Saint-Souplet-sur-Py;saint souplet sur py;4,92426E+13;4,467E+13
19101;51;51518;51220;Saint-Thierry;saint thierry;4,92948E+13;3,97317E+13
19102;51;51519;51800;Saint-Thomas-en-Argonne;saint thomas en argonne;4,91894E+13;4,86511E+13
19103;51;51520;51290;Saint-Utin;saint utin;4,85519E+13;4,48E+13
19104;51;51521;51340;Saint-Vrain;saint vrain;4,86983E+13;4,83608E+13
19105;51;51522;52100;Sapignicourt;sapignicourt;4,86476E+13;4,80194E+13
19106;51;51523;51170;Sarcy;sarcy;4,91994E+13;3,83066E+13
19107;51;51524;51260;Saron-sur-Aube;saron sur aube;485735866;37352852
19108;51;51525;51520;Sarry;sarry;4,89261E+13;4,39807E+13
19109;51;51526;51120;Saudoy;saudoy;4,86809E+13;3,69648E+13
19110;51;51527;51170;Savigny-sur-Ardres;savigny sur ardres;4,92472E+13;3,78574E+13
19111;51;51528;51340;Scrupt;scrupt;4,87177E+13;4,811E+13
19112;51;51529;51490;Selles;selles;4,92998E+13;4,28306E+13
19113;51;51530;51400;Sept-Saulx;sept saulx;4,91492E+13;4256614
19114;51;51531;51250;Sermaize-les-Bains;sermaize les bains;4,87783E+13;4,90796E+13
19115;51;51532;51500;Sermiers;sermiers;4,91463E+13;3,97814E+13
19116;51;51533;51800;Servon-Melzicourt;servon melzicourt;49204576;4,84633E+13
19117;51;51534;51170;Serzy-et-Prin;serzy et prin;4,92459E+13;3,76349E+13
19118;51;51535;51120;Sézanne;sezanne;4,87254E+13;3,72313E+13
19119;51;51536;51500;Sillery;sillery;4,91891E+13;4,1379E+12
19120;51;51537;51800;Sivry-Ante;sivry ante;4,89989E+13;4,92566E+13
19121;51;51538;51520;Sogny-aux-Moulins;sogny aux moulins;4,88999E+13;4,39646E+13
