LE_ID,ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
13140402,ARDEE LEA-6,,Lú,LOUTH,Leinster,2ae19629-3f12-13a3-e055-000000000001,700829.53,792443.66,379552110.97,22,379597520.112579,131782.214668721
13140403,DROGHEDA RURAL LEA-4,,Lú,LOUTH,Leinster,2ae19629-3f13-13a3-e055-000000000001,708773.09,780808.05,116963827.01,23,116947220.536957,72070.2959390022
13110400,MANORHAMILTON LEA-6,,Liatroim,LEITRIM,Connacht,2ae19629-3f04-13a3-e055-000000000001,587866.33,837874.9,756210852.49,24,756166951.986969,159701.548578739
13250403,WICKLOW LEA-6,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-3ef5-13a3-e055-000000000001,719366.91,698423.14,434096004.56,25,434087217.559998,141136.966248766
13160402,ASHBOURNE LEA-6,,An Mhí,MEATH,Leinster,2ae19629-3f1a-13a3-e055-000000000001,702423.91,757527.89,302696587.68,26,302696588.019836,178721.525815401
13170400,MONAGHAN LEA-7,,Muineachán,MONAGHAN,Ulster,2ae19629-3f1e-13a3-e055-000000000001,666867.79,838237.2,404888316.29,27,404869695.999878,150626.227824291
13100402,GRAIGUECULLEN -PORTARLINGTON-LEA-6,,Laois,LAOIS,Leinster,2ae19629-3f01-13a3-e055-000000000001,660846.94,692938.57,518584960.12,28,518632058.596619,152177.826576308
13210404,CASHEL-TIPPERARY LEA-7,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-3f30-13a3-e055-000000000001,591841,641660.05,776925523.15,29,776992474.849976,193180.818784419
13250400,BALTINGLASS LEA-6,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-3f3d-13a3-e055-000000000001,696952.59,690738.1,916221061.65,30,916210643.687622,247504.935399448
13260402,BLANCHARDSTOWN-MULHUDDART LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef9-13a3-e055-000000000001,709686.84,742410.84,57360043.54,31,57360664.1645813,46167.1011467926
13260405,STILLORGAN LEA-6,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3efc-13a3-e055-000000000001,720118.68,727546.07,11494745.72,32,11501164.1151428,22384.4239704595
13260425,SOUTH EAST INNER CITY LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f5b-13a3-e055-000000000001,718993.18,733461.93,6908777.04,33,6921892.05633545,22246.0837840583
1310400,CARLOW LEA-7,,Ceatharlach,CARLOW,Leinster,2ae19629-3f02-13a3-e055-000000000001,674919.4,676215.85,62424599.6,34,62411490.3702087,58266.0552389373
1340400,KANTURK LEA-4,,Corcaigh,CORK,Munster,2ae19629-3f63-13a3-e055-000000000001,536546.35,606204.56,924677467.79,35,924694544.607391,223119.860588521
1390402,PILTOWN LEA-5,,Cill Chainnigh,KILKENNY,Leinster,2ae19629-3f76-13a3-e055-000000000001,655906.7,621996.77,428362380.48,36,428378474.95224,118135.631946324
13260426,NORTH INNER CITY LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f5c-13a3-e055-000000000001,716931.72,735470.41,8839764.83,37,8858498.31130981,22341.4394397551
13150403,BELMULLET-LEA-3,,Maigh Eo,MAYO,Connacht,2ae19629-3f17-13a3-e055-000000000001,476642.9,819846.11,1459897271.57,38,1459642838.52438,891607.606499795
13260430,SOUTH WEST INNER CITY LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef4-13a3-e055-999660000001,713151.29,733455.89,5393122.03,39,5382743.29840088,12119.5130458912
1340403,CARRIGALINE LEA-6,,Corcaigh,CORK,Munster,2ae19629-3f66-13a3-e055-000000000001,568369.58,561595.37,182800008.01,40,182768451.810486,169553.349448296
1390400,CASTLECOMER LEA-6,,Cill Chainnigh,KILKENNY,Leinster,2ae19629-3f74-13a3-e055-000000000001,645580.58,665664.67,792752344.13,41,792809024.701843,228879.687152681
13260400,RUSH-LUSK LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef7-13a3-e055-000000000001,718305.35,756373.34,191956357.19,42,191997717.014679,146028.976783022
13150401,CLAREMORRIS LEA-6,,Maigh Eo,MAYO,Connacht,2ae19629-3f15-13a3-e055-000000000001,532050.17,767934.34,844778284.78,43,844765730.182373,189600.455906811
1370402,KILLARNEY LEA-7,,Ciarraí,KERRY,Munster,2ae19629-3f6d-13a3-e055-000000000001,503155.02,589193.34,579077595.03,44,579060778.72699,159741.06835331
13220420,TRAMORE-WATERFORD CITY WEST LEA-6,,Port Láirge,WATERFORD,Munster,2ae19629-3f33-13a3-e055-000000000001,656519.98,606134,77519245.82,45,77514704.9992065,84011.9702015578
1360404,ATHENRY-ORANMORE LEA-7,,Gaillimh,GALWAY,Connacht,2ae19629-3f4c-13a3-e055-000000000001,546132.73,730155.14,518319651.7,46,518362482.107483,205852.862326468
1340414,CORK CITY SOUTH WEST LEA-7,,Corcaigh,CORK,Munster,2ae19629-3ef4-13a3-e055-000012000001,562157.65,568134.25,38893223.55,47,38911802.3159485,40031.9177577931
13200400,BALLYMOTE-TOBERCURRY LEA-7,,Sligeach,SLIGO,Connacht,2ae19629-3f27-13a3-e055-000000000001,557897.46,817604.05,1410256786.93,48,1410263901.54541,308558.365850606
13120421,LIMERICK CITY NORTH LEA-7,,Luimneach,LIMERICK,Munster,2ae19629-3f0b-13a3-e055-000000000001,556119.81,658028.26,21079340.85,49,21073274.9261169,24511.1763658394
1360403,LOUGHREA LEA-5,,Gaillimh,GALWAY,Connacht,2ae19629-3f4b-13a3-e055-000000000001,573551.24,711413.78,932198555.59,50,932193855.165009,204740.163029127
1340411,CORK CITY NORTH EAST LEA-6,,Corcaigh,CORK,Munster,2ae19629-3ef4-13a3-e055-999440000001,570350,575909.68,41031152.05,51,41008848.175354,31010.0746003431
13160400,KELLS LEA-7,,An Mhí,MEATH,Leinster,2ae19629-3f18-13a3-e055-000000000001,667959.2,778248.66,819913052.44,52,819955661.087708,237300.521260494
13240400,GOREY LEA-6,,Loch Garman,WEXFORD,Leinster,2ae19629-3f39-13a3-e055-000000000001,711915.52,661558.41,384165209.14,53,384225294.572754,113354.229995923
