Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2009;15;M;Personenauto;1;326328001;;;;Hoevelakenseweg;Hoevelakenseweg;Van de Bleekstraat;Barneveld;Barneveld;Gelderland;W;163382;464173;5216565222;5509715078
2009;40;M;Fiets;2;326370037;;;;Edisonweg;Industrieweg;Industrieweg;Zeewolde;Zeewolde;Flevoland;K;163280;485374;5235620284;5508744405
2009;17;M;Personenauto;1;327180001;;;;Hooidonk;Hooijdonk;Eikelkampen;Nuenen ca;Nuenen ca;Noord-Brabant;W;163814;389932;5149834451;5514132538
2009;20;M;Personenauto;1;327180001;;;;Hooidonk;Hooijdonk;Eikelkampen;Nuenen ca;Nuenen ca;Noord-Brabant;W;163814;389932;5149834451;5514132538
2009;70;M;Snorfiets;5;327308002;;;;Utrechtseweg;GROOT WOLFSWINKEL;Molenstraat;Renswoude;Renswoude;Utrecht;W;164294;454214;5207612652;5522772606
2009;48;M;Bromfiets;5;328172009;;;;Vorsterdijk;Europalaan;Dorenweg;Nuenen ca;Nuenen ca;Noord-Brabant;W;164461;386270;5146541763;5523351385
2009;21;M;Personenauto;1;329302002;;;;Emminkhuizerlaan;Biesbosserweg;BROEKERWEG;Renswoude;Renswoude;Utrecht;W;165278;452194;5205795329;553706504
2009;24;V;Voetganger;3;330206024;;;;Julianastraat;N.C.B.-laan;N.C.B.-laan;Veghel;Veghel;Noord-Brabant;K;165098;403080;5161650471;5533002875
2009;61;M;Personenauto;1;331525009;;;113,6;RYKSWG;RYKSWG;NIJLAND 19;Wymbritseradiel;Wymbritseradiel;Friesland;W;165955;562880;5305268904;555058401
2009;72;M;Fiets;2;333488066;;;;Houtdyk;Jan Jurjenssingel;SUDERGOAWEI;Gaasterlan-Sleat;Gaasterlan-Sleat;Friesland;K;166703;544352;5288617696;5561072818
2009;40;M;Personenauto;1;334277014;;;14,4;PROVINCIALEWEG;OCHTEN;Broekdijk;Neder-Betuwe;Neder-Betuwe;Gelderland;W;167144;438243;5193252223;5563777769
2009;37;V;Motor;4;334277137;;;;Betuwestraatweg;Betuwestraatweg;OCHTEN;Neder-Betuwe;Neder-Betuwe;Gelderland;K;167023;438513;5193495168;5562027879
2009;88;M;Voetganger;3;334289001;;;;Cuneraweg;Groot Dikkenberg;Sundertweg;Rhenen;Rhenen;Utrecht;W;167360;444356;5198746211;5567138767
2009;81;V;Personenauto;1;335328007;;;55,4;RYKSWG;BARNEVELD 15;VOORTHUIZEN 16;Barneveld;Barneveld;Gelderland;W;168228;464497;5216846937;5580556648
2009;38;V;Personenauto;1;335415001;;;11,4;Swifterringweg;Swifterringweg;Klokbekerweg;Lelystad;Lelystad;Flevoland;W;168086;508030;5255972688;5580177379
2009;81;V;Fiets;2;336258017;;;;Heppertsestraat;Middenweg;Noord-Zuid;West Maas en Waal;West Maas en Waal;Gelderland;K;168382;429365;5185269619;5581433054
2009;20;M;Personenauto;1;338332031;;;;Hoofdstraat;Rietdekkerslaan;De Ruijterlaan;Barneveld;Barneveld;Gelderland;W;169285;466081;5218267977;5596073393
2009;39;M;Personenauto;1;339148003;;;;Heezerweg;Korte Vlaamseweg;Albertlaan;Heeze-Leende;Heeze-Leende;Noord-Brabant;W;169969;374008;5135507943;5602094329
2009;78;V;Personenauto;1;339152002;;;;Somerenseweg;Somerenseweg;Somerenseweg;Heeze-Leende;Heeze-Leende;Noord-Brabant;W;170699;376463;5137712677;5612683089
2009;55;V;Fiets;2;339364113;;;;Muziekpad;Muziekpad;Ouverturepad;Harderwijk;Harderwijk;Gelderland;K;169581;482201;5232755402;5601097257
2009;88;M;Fiets;2;340364063;;;;Drielandendreef;Weisteeg;Westermeenweg;Harderwijk;Harderwijk;Gelderland;K;170234;482442;523297023;5610687156
